zcr_mean,spectral_centroid_mean,spectral_rolloff_mean,spectral_bandwidth_mean,rms_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_mean,spectral_contrast_mean,tonnetz_mean,onset_strength_mean,harmonic_rms,percussive_rms,mean_pitch,tempo,chroma_cqt_mean,spectral_flatness_mean,spectral_entropy,crest_factor,attack_time,decay_time,skewness,kurtosis,audio_file,audio_label
0.009149521,896.3597785,1302.927898,2169.728505,0.23107915,-258.9051,167.60843,26.62572,49.342327,26.822054,16.264545,4.6285114,9.190874,7.531264,1.7609694,4.1931167,-0.50629985,-0.7885561,0.5898205,14.73145423,-0.007770418,0.9364736,0.1573342,0.08168233,68.70284317,126.0480183,0.70182717,0.000126512,3.95E-05,4.327522,0,2.209070295,-0.038072276,2.326848455,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState1.wav,on_state
0.004183429,756.2874921,669.6250061,2456.603626,0.06021122,-406.96976,104.80351,60.138638,37.642982,19.65063,12.436686,10.728637,12.790219,12.5753975,10.931297,9.659317,7.5330615,5.4014735,0.77259684,13.63711366,-0.003216164,0.6079906,0.048908822,0.014266801,69.02221188,123.046875,0.6443482,6.97E-05,9.51E-06,16.6082,0.002380952,1.312312925,-0.23452296,31.96430093,/content/drive/MyDrive/almIT_Anamoly_Audios/OffState1.wav,off_state
0.018197286,1405.938307,3108.513964,2580.830116,0.56138927,-60.415672,182.03734,-8.82554,67.857,3.1079967,14.456581,-10.654389,12.829663,2.065045,-0.59454846,2.160088,-0.61443716,0.12740071,0.43719852,13.98161718,0.000711324,0.98129356,0.3751141,0.21495546,84.82870226,129.1992188,0.7021556,0.000335381,2.63E-07,1.7812952,0,13.50290249,-0.065244133,-0.972823499,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal1.wav,normal_case
0.012422975,1116.60577,2008.592925,2417.722096,0.30590287,-222.68712,156.27261,23.73786,53.479115,18.953892,15.734603,0.9188143,10.865689,7.0609593,2.2794309,4.606301,1.2556268,-0.05686422,0.5958396,14.13630727,-0.004025284,0.89502764,0.2024406,0.11616667,70.28851803,126.0480183,0.68113685,0.000440647,7.39E-06,3.2690115,2.043197279,4.11185941,-0.118269933,0.95012021,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState2.wav,on_state
0.005430432,699.7788283,686.3348131,2200.296853,0.11256429,-364.2472,113.1974,52.72023,43.41257,27.194012,16.90448,11.297923,14.076744,12.85369,9.038739,8.340104,6.4871593,4.7173967,0.74404424,13.65523123,-0.00230971,0.612306,0.085335635,0.032160625,67.77022935,129.1992188,0.6608234,6.09E-05,1.19E-05,8.883812,0.002721088,1.249047619,-0.225376813,11.27014265,/content/drive/MyDrive/almIT_Anamoly_Audios/OffState2.wav,off_state
0.017187146,1354.331753,2979.227879,2537.654127,0.5828843,-61.562767,183.22517,-7.4644723,68.15084,3.7353883,14.300498,-9.563315,13.379962,3.427445,-0.45692554,3.334516,0.111823715,0.5864114,0.50753444,13.90179498,-0.006768474,0.98690796,0.37943286,0.22587046,78.80252815,126.0480183,0.71270126,0.000302772,2.38E-07,1.7156063,0,12.81258503,-0.052800798,-1.050467142,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal2.wav,normal_case
0.012479127,1118.397481,2042.777724,2360.533032,0.28935963,-223.33556,163.46568,22.941935,52.631306,21.38539,15.842807,1.7283821,10.9106655,6.558373,1.4011409,4.6941104,1.0668261,-0.3917108,0.608754,14.37988086,0.000962249,0.9601542,0.18645713,0.111907996,66.30045677,129.1992188,0.72355205,0.000433704,1.55E-05,3.455907,0,3.037460317,-0.092599205,1.331114439,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState3.wav,on_state
0.01743392,1351.835253,2951.904472,2524.198736,0.5791616,-62.074688,184.4285,-7.6542444,67.53261,2.8705642,13.337574,-9.778006,13.772389,2.7329364,-0.8412017,3.191432,-0.0624325,0.18018813,0.45468402,13.96180959,-0.005741473,0.9872179,0.385585,0.22183423,80.53071314,120.1853198,0.6740102,0.000300992,3.72E-07,1.7266339,0,12.92303855,-0.058690803,-1.035343807,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal3.wav,normal_case
0.004452557,725.3278851,654.9610086,2306.605699,0.08536482,-379.6051,109.533875,56.44981,39.336643,23.397957,14.802387,11.614805,13.4594345,12.619124,10.163726,9.543865,7.5453467,5.331859,0.7529581,13.64483543,-0.000134612,0.6248694,0.06532021,0.023570336,67.93043231,126.0480183,0.64274806,6.51E-05,1.56E-05,11.714428,0.000884354,1.040226757,-0.104780555,17.60893925,/content/drive/MyDrive/almIT_Anamoly_Audios/OffState3.wav,off_state
0.011537333,1001.477863,1719.422014,2234.29551,0.29072762,-231.3024,166.38365,26.744455,52.37445,20.56055,15.7935915,1.6052352,10.180755,7.33455,2.266023,4.350915,-0.1704866,-1.3439263,0.57419795,14.49540961,0.003556023,0.8939559,0.19996299,0.10618387,69.19937897,120.1853198,0.6809767,0.000506207,2.18E-05,3.4396458,1.609160998,2.927006803,-0.057944058,1.330270271,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState4.wav,on_state
0.017090794,1325.551651,2869.34121,2500.03066,0.5911665,-60.732178,185.9025,-6.872727,67.09527,2.5470288,13.229302,-9.954356,13.284766,2.8583672,-0.87793785,3.044676,0.091441445,0.09097142,0.45548826,13.86036301,-0.009332445,0.98842716,0.39046934,0.22829752,85.26885476,120.1853198,0.6854311,0.000290717,4.10E-07,1.6915709,0,11.92897959,-0.058033478,-1.079625261,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal4.wav,normal_case
0.004690479,778.6327389,781.0069927,2412.19233,0.0859024,-386.76913,110.64332,57.128193,40.63041,22.610727,15.03456,12.009074,12.689041,11.827301,9.402294,8.359848,6.348005,4.5254164,0.75322145,13.79256845,-0.00761562,0.65946794,0.06593801,0.023707408,70.29236282,117.4538352,0.6565205,7.65E-05,6.68E-06,11.641118,0,17.50684807,-0.128947297,17.68545243,/content/drive/MyDrive/almIT_Anamoly_Audios/OffState4.wav,off_state
0.01066784,1058.129422,1825.980179,2324.743329,0.26280436,-244.98007,160.17813,26.23911,51.317226,22.530119,15.046559,3.7785554,10.460035,7.2058105,2.0866177,5.400056,0.7950114,-1.4134171,0.5588839,14.58829815,0.019659124,0.9566215,0.18491077,0.092833705,66.53476287,129.1992188,0.6752622,0.00028139,2.06E-05,3.805112,1.768866213,2.813106576,0.016073037,1.645250048,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState5.wav,on_state
